"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","calculated_elevation_range","calculated_elevation_range_label","calculated_aspect","calculated_aspect_label","calculated_slope","calculated_slope_label","disturbance","year","comment"
"12","EPSG:4326","7.978513963","51.15459115","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"2007"
"13","EPSG:4326","8.408631368","50.97503646","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"14","EPSG:4326","7.853102081","51.08712807","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"15","EPSG:4326","8.081923283","51.07349464","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"vor 2015"
"16","EPSG:4326","8.260212553","51.07059431","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","true",,"2018"
"17","EPSG:4326","8.26481232","51.10761343","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"18","EPSG:4326","8.026240653","51.2379976","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"vor 2015"
"19","EPSG:4326","8.077998398","51.14641266","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"20","EPSG:4326","8.403064667","51.06694988","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"2007"
"21","EPSG:4326","8.313336974","51.12136506","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
